PROKKA_00343	Proton transporters
PROKKA_00392	Proton transporters
PROKKA_02006	Proton transporters
PROKKA_00495	Proton consuming reactions
PROKKA_00855	Proton consuming reactions
PROKKA_02102	Proton consuming reactions
PROKKA_00030	Proton consuming reactions
PROKKA_00296	Proton consuming reactions
PROKKA_00856	Spermidine
PROKKA_00857	Spermidine
PROKKA_01989	Spermidine
PROKKA_00851	Chaperones
PROKKA_00258	Chaperones
PROKKA_00785	Chaperones
PROKKA_00927	Chaperones
PROKKA_00839	Chaperones
PROKKA_00948	Chaperones
PROKKA_00324	Arsenic resistance
PROKKA_00753	Arsenic resistance
PROKKA_00754	Arsenic resistance
PROKKA_02050	Copper resistance
PROKKA_00313	Copper resistance
PROKKA_00752	Copper resistance
PROKKA_00684	Copper resistance
PROKKA_00919	Copper/silver resistance
PROKKA_00166	Copper/silver resistance
PROKKA_02435	Copper/silver resistance
PROKKA_00920	Copper/silver resistance
PROKKA_01521	Copper/silver resistance; Cadmium/cobalt/zinc resistance
PROKKA_02071	Copper/silver resistance
PROKKA_00918	Copper/silver resistance
PROKKA_02048	Copper/silver resistance
PROKKA_00167	Cadmium/cobalt/zinc resistance
PROKKA_01520	Cadmium/cobalt/zinc resistance
PROKKA_01619	Cadmium/cobalt/zinc resistance
PROKKA_02037	Cadmium/cobalt/zinc resistance
PROKKA_02038	Cadmium/cobalt/zinc resistance
PROKKA_00326	Cadmium/cobalt/zinc resistance
PROKKA_01620	Cadmium/cobalt/zinc resistance
PROKKA_02419	Cadmium/cobalt/zinc resistance
PROKKA_02423	Cadmium/cobalt/zinc resistance
PROKKA_02039	Cadmium/cobalt/zinc resistance
PROKKA_00665	Cadmium/cobalt/zinc resistance
PROKKA_02043	Cadmium/cobalt/zinc resistance
PROKKA_00560	Mercury resistance
PROKKA_00559	Mercury resistance
PROKKA_01909	Mercury resistance
PROKKA_01157	Mercury resistance
PROKKA_01156	Mercury resistance
PROKKA_00558	Mercury resistance
PROKKA_00076	Metal tolerance
PROKKA_00755	Metal tolerance
PROKKA_01059	Metal tolerance
PROKKA_02594	Metal tolerance
PROKKA_00588	Oxidative stress response
PROKKA_02121	Oxidative stress response
PROKKA_02379	Oxidative stress response
PROKKA_02380	Oxidative stress response
PROKKA_00334	Oxidative stress response
PROKKA_00463	Oxidative stress response
PROKKA_00141	Oxidative stress response
PROKKA_00956	Oxidative stress response
PROKKA_00464	Oxidative stress response
PROKKA_02122	Oxidative stress response
