"","locus_tag","gene"
"119","LFT_00476","kdpB"
"120","LFT_00489","glpC"
"121","LFT_00501","msrA"
"122","LFT_00511","leuC"
"123","LFT_00513","rfbA"
"124","LFT_00519","gadB"
"125","LFT_00520","treZ"
"126","LFT_00521","treY"
"127","LFT_00615","mraZ"
"128","LFT_00616","rsmH"
"129","LFT_00619","murE"
"130","LFT_00620","murF"
"131","LFT_00621","mraY"
"132","LFT_00622","murD"
"133","LFT_00623","ftsW"
"134","LFT_00624","murG"
"135","LFT_00625","murC"
"136","LFT_00626","murB"
"137","LFT_00627","ddl"
"138","LFT_00629","ftsA"
"139","LFT_00630","ftsZ"
"140","LFT_00631","yfiH"
"141","LFT_00633","proC"
"142","LFT_00639","shc"
"143","LFT_00649","cbiX"
"144","LFT_00650","hemE"
"145","LFT_00667","metK"
"146","LFT_00668","ahcY"
"147","LFT_00670","cysK"
"148","LFT_00676","mec"
"149","LFT_00679","galE"
"150","LFT_00689","fieF"
"151","LFT_00690","uvrA"
"152","LFT_00691","lolA"
"153","LFT_00692","ftsK"
"154","LFT_00696","slt"
"155","LFT_00701","rny"
"156","LFT_00703","xseA"
"157","LFT_00704","xseB"
"158","LFT_00706","dxs"
"159","LFT_00707","tlyA"
"160","LFT_00709","cutA"
"161","LFT_00711","secA"
"162","LFT_00713","nuoB"
"163","LFT_00720","nuoH"
"164","LFT_00721","nuoI"
"165","LFT_00722","nuoJ"
"166","LFT_00725","nuoM"
"167","LFT_00726","nuoN"
"168","LFT_00769","polB"
"169","LFT_00773","pgi"
"170","LFT_00780","arsB"
"171","LFT_00781","arsC"
"172","LFT_00791","nsrR"
"173","LFT_00797","algC"
"174","LFT_00804","recO"
"175","LFT_00807","rlmI"
"176","LFT_00808","typA"
"177","LFT_00809","cypB"
"178","LFT_00811","metH"
"179","LFT_00813","thiC"
"180","LFT_00816","uvrC"
"181","LFT_00818","aroE"
"182","LFT_00819","ftsY"
"183","LFT_00820","ybeY"
"184","LFT_00829","cheV"
"185","LFT_00832","nusA"
"186","LFT_00833","infB"
"187","LFT_00835","rbfA"
"188","LFT_00836","truB"
"189","LFT_00837","rpsO"
"190","LFT_00838","pnp"
"191","LFT_00841","pdxJ"
"192","LFT_00842","acpS"
"193","LFT_00846","mutS"
"194","LFT_00849","fabI"
"195","LFT_00855","recG"
"196","LFT_00859","cca"
"197","LFT_00867","rpsA"
"198","LFT_00870","ffh"
"199","LFT_00871","rpsP"
"200","LFT_00873","trmD"
"201","LFT_00874","rplS"
"202","LFT_00875","rnhB"
"203","LFT_00880","groL"
"204","LFT_00882","recN"
"205","LFT_00884","speA"
"206","LFT_00885","speE"
"207","LFT_00887","speH"
"208","LFT_00891","pgpA"
"209","LFT_00892","recA"
"210","LFT_00893","alaS"
"211","LFT_00895","yqgF"
"212","LFT_00896","mltG"
"213","LFT_00897","valS"
"214","LFT_00900","birA"
"215","LFT_00901","coaX"
"216","LFT_00907","mdh"
